price_zar,city,suburb,property_type,bedrooms,bathrooms,parkings,floor_size_m2,erf_size_m2,title,source_text,province,garages
3800000.0,,Way,House,3.0,1.0,1.0,190.0,,,"28 - 30 Millennium Business Park, 19 Edison Way",Gauteng,0.0
4600000.0,,Bridgeway,Townhouse,2.0,2.0,2.0,99.0,,,"4600 Axis, 1 Bridgeway",Gauteng,0.0
1580000.0,,Close,Apartment,2.0,1.0,1.0,66.0,,,"Ss Equini Lifestyle Centre, 82 Pegasus Close",Gauteng,0.0
1580000.0,,Close,Apartment,2.0,1.0,1.0,66.0,,,"Ss Equini Lifestyle Centre, 82 Pegasus Close",Gauteng,0.0
5995000.0,,Lane,House,3.0,2.0,2.0,157.0,,,"5995 The Island Club, 1 Northbank Lane",Gauteng,0.0
4390000.0,,Bridgeway,Townhouse,2.0,2.0,2.0,90.0,,,"4390 Axis, 1 Bridgeway",Gauteng,0.0
2850000.0,,Blvd,Apartment,1.0,1.0,1.0,45.0,,,15 Century Blvd,Gauteng,0.0
3585000.0,,Lane,House,3.0,1.0,1.0,140.0,,,"1 The Forum, 6 Park Lane",Gauteng,0.0
6250000.0,,Park,Townhouse,2.0,2.0,2.0,108.0,,,"2801 The Bridges, 801 Ratanga Park",Gauteng,0.0
1600000.0,,Estate,Apartment,2.0,2.0,2.0,74.0,,,"147 Avenida, Burgundy Estate",Gauteng,0.0
989900.0,,Views,Apartment,1.0,1.0,1.0,38.0,,,"A402, Pioneer Views",Gauteng,0.0
2050000.0,,Cinnebar,Townhouse,2.0,2.0,2.0,103.0,,,"322 Hazelwood, 9 Cinnebar",Gauteng,0.0
2895000.0,,Blanc,Townhouse,2.0,2.0,1.0,98.0,,,"1506 Oasis Life Retirement, 1506 Pinot Blanc",Gauteng,0.0
1069900.0,,Views,Apartment,1.0,1.0,1.0,48.0,,,D204 Pioneer Views,Gauteng,0.0
2980000.0,,Blvd,House,3.0,2.0,2.0,158.0,,,12 Grand National Blvd,Gauteng,0.0
3900000.0,,Park,Townhouse,2.0,2.0,2.0,107.0,,,"2104 The Bridges, 1 Ratanga Park",Gauteng,0.0
2350000.0,,Boulevard,House,3.0,2.0,3.0,165.0,,,17 Grand National Boulevard,Gauteng,0.0
3800000.0,,Way,House,3.0,1.0,1.0,190.0,,,"28 Millennium Business Park, 19 Edison Way",Gauteng,0.0
3950000.0,,Park,Apartment,2.0,2.0,2.0,72.0,,,"2513 The Bridges, 1 Ratanga Park",Gauteng,0.0
3950000.0,,Park,Apartment,2.0,2.0,2.0,72.0,,,"513 The Bridges, 6 Ratanga Park",Gauteng,0.0
3900000.0,,Park,Apartment,2.0,2.0,2.0,72.0,,,"2104 The Bridges, 1 Ratanga Park",Gauteng,0.0
1495000.0,,Square,Apartment,1.0,1.0,1.0,47.0,,,"A3 Waterstone East, 1 Waterstone Square",Gauteng,0.0
1395000.0,,Close,Apartment,1.0,1.0,1.0,39.0,,,"Greyville Square, 1 Greyville Close",Gauteng,0.0
3850000.0,,Bridgeway,Townhouse,2.0,2.0,2.0,90.0,,,"3850 Axis, 1 Bridgeway",Gauteng,0.0
4500000.0,,Way,House,4.0,1.0,1.0,300.0,,,59 Williams Way,Gauteng,0.0
1850000.0,,Boulevard,Apartment,1.0,1.0,1.0,29.0,,,"1850 Nine Palms, 15 Century Boulevard",Gauteng,0.0
4395000.0,,Boulevard,Townhouse,2.0,2.0,2.0,95.0,,,"1308 Park Place, 5 Century Boulevard",Gauteng,0.0
11900000.0,,Resort,House,3.0,3.0,2.0,247.0,,,"1103 Palme Vue, Oasis Luxury Retirement Resort",Gauteng,0.0
2195000.0,,Milnerton,Apartment,1.0,1.0,1.0,55.0,,,"402 Ss THE Burmeister On Park, 9 Burmeister Circle Milnerton",Gauteng,0.0
3800000.0,,Way,House,3.0,1.0,1.0,207.0,,,"123-126 Millenium Business Park, 19 Edison Way",Gauteng,0.0
2350000.0,,Circle,Apartment,1.0,1.0,1.0,56.0,,,10 Burmeister Circle,Gauteng,0.0
1850000.0,,Boulevard,Apartment,1.0,1.0,1.0,29.0,,,"20957 Nine Palms, 17 Century Boulevard",Gauteng,0.0
3525900.0,,Way,House,3.0,1.0,1.0,219.0,,,19 Edison Way,Gauteng,0.0
6950000.0,,Lane,House,4.0,1.0,1.0,262.0,,,2 Park Lane,Gauteng,0.0
9600000.0,,Way,House,4.0,1.0,1.0,2280.0,,,16 Winning Way,Gauteng,0.0
4695000.0,,Lane,House,3.0,2.0,2.0,170.0,,,"123 Portofino, 6 North Bank Lane",Gauteng,0.0
3400000.0,,Boulevard,Apartment,2.0,2.0,2.0,87.0,,,Century Boulevard,Gauteng,0.0
3600000.0,,Way,House,3.0,1.0,1.0,137.0,,,"G01 The Forum, 6 Century Way",Gauteng,0.0
5500000.0,,Lane,House,3.0,2.0,2.0,128.0,,,"5500 Island Club, 2 North Bank Lane",Gauteng,0.0
3600000.0,,Way,House,3.0,1.0,1.0,137.0,,,"G01 The Forum, 6 Century Way",Gauteng,0.0
1295000.0,,Circle,Townhouse,2.0,2.0,2.0,108.0,,,5 Gardner Circle,Gauteng,0.0
2295000.0,,Raleigh,House,4.0,1.0,1.0,293.0,,,11 Raleigh,Gauteng,0.0
510000.0,,Gqeberha,House,3.0,1.0,1.0,121.0,,,"12 Middle Avenue North End Gqeberha,",Gauteng,0.0
449000.0,,Humewood,Apartment,1.0,1.0,1.0,40.0,,,"C2 Humewood Gardens, 16 Cranwell Drive",Eastern Cape,0.0
1025000.0,,Circle,Apartment,2.0,2.0,1.0,89.0,,,"42 Bridgewater, 4 Gardner Circle",Gauteng,0.0
12000000.0,,Estate,House,4.0,1.0,1.0,1400.0,,,Erf 601 Wells Estate,Gauteng,0.0
12000000.0,,Estate,House,4.0,1.0,1.0,1400.0,,,Erf 601 Wells Estate,Gauteng,0.0
825000.0,,Lorraine,Apartment,1.0,1.0,1.0,44.0,,,"50 Longwy Ave, Lorraine",Gauteng,0.0
2150000.0,,Waterfront,House,3.0,2.0,2.0,132.0,,,THE Waterfront 11 Windermere Road,Western Cape,0.0
825000.0,,Devon,Apartment,2.0,1.0,2.0,76.0,,,"5 Dick King, 9999 Devon",Gauteng,0.0
2350000.0,,End,House,4.0,4.0,3.0,325.0,,,"43 Gardner Circle, South End",Gauteng,0.0
695000.0,,Crescent,Townhouse,2.0,1.0,1.0,99.0,,,5 Richmond Hill Crescent,Gauteng,0.0
795000.0,,Warbler,Apartment,1.0,1.0,2.0,48.0,,,107 Warbler,Gauteng,0.0
739000.0,,Laan,Apartment,1.0,1.0,1.0,42.0,,,"15 The Terraces, 142 Hospice Laan",Gauteng,0.0
959000.0,,Laan,Apartment,2.0,2.0,1.0,65.0,,,"5 The Terraces, 147 Hospice Laan",Gauteng,0.0
699000.0,,Laan,Apartment,1.0,1.0,1.0,42.0,,,"16 The Terraces, 143 Hospice Laan",Gauteng,0.0
899000.0,,Vista,Townhouse,2.0,1.0,1.0,108.0,,,19 Monte Vista,Gauteng,0.0
1250000.0,,Walmer,House,3.0,2.0,2.0,118.0,,,"5 1st Avenue, Walmer",Gauteng,0.0
999000.0,,Laan,Apartment,2.0,2.0,1.0,65.0,,,"4 The Terraces, 146 Hospice Laan",Gauteng,0.0
540000.0,,View,Apartment,1.0,1.0,1.0,59.0,,,Village 3 Ridge View,Gauteng,0.0
690000.0,,Floor,Apartment,1.0,1.0,1.0,59.0,,,Village 2 Ridge View Ground Floor,Gauteng,0.0
